Countries and areas;OOSR_Pre0Primary_Age_Male;OOSR_Pre0Primary_Age_Female;OOSR_Primary_Age_Male;OOSR_Primary_Age_Female;OOSR_Lower_Secondary_Age_Male;OOSR_Lower_Secondary_Age_Female;OOSR_Upper_Secondary_Age_Male;OOSR_Upper_Secondary_Age_Female;Completion_Rate_Primary_Male;Completion_Rate_Primary_Female;Completion_Rate_Lower_Secondary_Male;Completion_Rate_Lower_Secondary_Female;Completion_Rate_Upper_Secondary_Male;Completion_Rate_Upper_Secondary_Female;Grade_2_3_Proficiency_Reading;Grade_2_3_Proficiency_Math;Primary_End_Proficiency_Reading;Primary_End_Proficiency_Math;Lower_Secondary_End_Proficiency_Reading;Lower_Secondary_End_Proficiency_Math;Youth_15_24_Literacy_Rate_Male;Youth_15_24_Literacy_Rate_Female;Birth_Rate;Gross_Primary_Education_Enrollment;Gross_Tertiary_Education_Enrollment;Unemployment_Rate
Afghanistan;0;0;0;0;0;0;44;69;67;40;49;26;32;14;22;25;13;11;0;0;74;56;3249;104;97;1112
Albania;4;2;6;3;6;1;21;15;94;96;98;97;76;80;0;0;0;0;48;58;99;100;1178;107;55;1233
Algeria;0;0;0;0;0;0;0;0;93;93;49;65;22;37;0;0;0;0;21;19;98;97;2428;1099;514;117
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;1064;0;0
Angola;31;39;0;0;0;0;0;0;63;57;42;32;24;15;0;0;0;0;0;0;0;0;4073;1135;93;689
Anguilla;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;14;4;4;1;1;2;14;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1533;105;248;0
Argentina;2;2;0;0;0;0;15;7;91;94;70;79;46;53;76;71;46;56;48;31;99;100;1702;1097;90;979
Armenia;52;50;9;9;11;9;16;4;99;99;95;99;69;79;0;0;0;55;0;50;0;0;1399;927;546;1699
Australia;13;14;0;0;2;3;10;6;0;0;0;0;0;0;94;70;0;64;80;78;0;0;126;1003;1131;527
Austria;0;0;0;0;1;0;10;9;0;0;0;0;0;0;0;0;98;0;76;79;0;0;97;1031;851;467
Azerbaijan;32;19;10;7;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;14;997;277;551
The Bahamas;0;0;0;0;23;21;29;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1397;814;151;1036
Bahrain;31;28;2;3;7;0;18;6;0;0;0;0;0;0;69;40;0;0;0;39;100;99;1399;994;505;71
Bangladesh;0;0;0;0;0;0;41;36;76;89;59;71;32;27;47;34;44;32;54;57;94;96;1818;1165;206;419
Barbados;6;10;1;2;7;3;7;3;99;99;98;98;91;97;0;0;0;0;0;0;0;0;1065;994;654;1033
Belarus;0;4;1;2;1;1;6;4;100;100;100;100;91;94;0;0;0;0;77;71;100;100;99;1005;874;459
Belgium;3;2;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;79;80;0;0;103;1039;797;559
Belize;18;16;1;1;9;11;38;35;95;96;55;66;48;51;0;0;0;0;0;0;0;0;2079;1117;247;641
Benin;15;16;3;10;27;43;46;66;51;44;25;13;12;5;9;34;23;11;0;0;70;52;3622;122;123;223
Bhutan;58;59;5;2;18;6;33;22;67;71;41;38;25;18;0;0;0;0;56;0;0;0;1726;1001;156;234
Bolivia;9;8;5;5;13;14;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2175;982;0;35
